Month,DayOfYear,Variety,City,Package,Low Price,High Price,Price
10,274,PIE TYPE,CHICAGO,1 1/9 bushel cartons,17.0,18.0,15.75
10,281,PIE TYPE,CHICAGO,1 1/9 bushel cartons,17.0,18.0,15.75
10,281,PIE TYPE,CHICAGO,1 1/9 bushel cartons,17.0,18.0,15.75
10,281,PIE TYPE,CHICAGO,1 1/9 bushel cartons,17.0,18.0,15.75
10,288,PIE TYPE,CHICAGO,1 1/9 bushel cartons,17.0,18.0,15.75
10,288,PIE TYPE,CHICAGO,1 1/9 bushel cartons,17.0,18.0,15.75
10,288,PIE TYPE,CHICAGO,1 1/9 bushel cartons,17.0,18.0,15.75
10,295,PIE TYPE,CHICAGO,1 1/9 bushel cartons,17.0,17.0,15.299999999999999
10,295,PIE TYPE,CHICAGO,1 1/9 bushel cartons,17.0,17.0,15.299999999999999
10,295,PIE TYPE,CHICAGO,1 1/9 bushel cartons,17.0,17.0,15.299999999999999
10,302,PIE TYPE,CHICAGO,1 1/9 bushel cartons,17.0,17.0,15.299999999999999
10,302,PIE TYPE,CHICAGO,1 1/9 bushel cartons,17.0,17.0,15.299999999999999
10,302,PIE TYPE,CHICAGO,1 1/9 bushel cartons,17.0,17.0,15.299999999999999
11,309,PIE TYPE,CHICAGO,1 1/9 bushel cartons,17.0,17.0,15.299999999999999
11,309,PIE TYPE,CHICAGO,1 1/9 bushel cartons,17.0,17.0,15.299999999999999
11,309,PIE TYPE,CHICAGO,1 1/9 bushel cartons,17.0,17.0,15.299999999999999
11,316,PIE TYPE,CHICAGO,1 1/9 bushel cartons,17.0,17.0,15.299999999999999
11,316,PIE TYPE,CHICAGO,1 1/9 bushel cartons,17.0,17.0,15.299999999999999
11,316,PIE TYPE,CHICAGO,1 1/9 bushel cartons,17.0,17.0,15.299999999999999
11,323,PIE TYPE,CHICAGO,1 1/9 bushel cartons,17.0,17.0,15.299999999999999
11,323,PIE TYPE,CHICAGO,1 1/9 bushel cartons,17.0,17.0,15.299999999999999
11,323,PIE TYPE,CHICAGO,1 1/9 bushel cartons,17.0,17.0,15.299999999999999
11,330,PIE TYPE,CHICAGO,1 1/9 bushel cartons,17.0,17.0,15.299999999999999
11,330,PIE TYPE,CHICAGO,1 1/9 bushel cartons,17.0,17.0,15.299999999999999
12,337,PIE TYPE,CHICAGO,1 1/9 bushel cartons,17.0,17.0,15.299999999999999
12,337,PIE TYPE,CHICAGO,1 1/9 bushel cartons,17.0,17.0,15.299999999999999
12,344,PIE TYPE,CHICAGO,1 1/9 bushel cartons,17.0,17.0,15.299999999999999
12,344,PIE TYPE,CHICAGO,1 1/9 bushel cartons,17.0,17.0,15.299999999999999
8,237,PIE TYPE,CHICAGO,1 1/9 bushel cartons,20.0,20.0,18.0
9,244,PIE TYPE,CHICAGO,1 1/9 bushel cartons,20.0,20.0,18.0
9,244,PIE TYPE,CHICAGO,1 1/9 bushel cartons,18.0,18.0,16.2
9,251,PIE TYPE,CHICAGO,1 1/9 bushel cartons,20.0,20.0,18.0
9,251,PIE TYPE,CHICAGO,1 1/9 bushel cartons,18.0,18.0,16.2
9,258,PIE TYPE,CHICAGO,1 1/9 bushel cartons,18.0,20.0,17.099999999999998
9,258,PIE TYPE,CHICAGO,1 1/9 bushel cartons,17.0,19.0,16.2
9,265,PIE TYPE,CHICAGO,1 1/9 bushel cartons,18.0,20.0,17.099999999999998
9,265,PIE TYPE,CHICAGO,1 1/9 bushel cartons,17.0,19.0,16.2
9,272,PIE TYPE,CHICAGO,1 1/9 bushel cartons,18.0,20.0,17.099999999999998
9,272,PIE TYPE,CHICAGO,1 1/9 bushel cartons,17.0,19.0,16.2
10,281,PIE TYPE,CHICAGO,1 1/9 bushel cartons,22.5,22.5,20.25
10,288,PIE TYPE,CHICAGO,1 1/9 bushel cartons,22.5,22.5,20.25
10,295,PIE TYPE,CHICAGO,1 1/9 bushel cartons,22.5,22.5,20.25
10,302,PIE TYPE,CHICAGO,1 1/9 bushel cartons,22.5,22.5,20.25
11,309,PIE TYPE,CHICAGO,1 1/9 bushel cartons,22.5,22.5,20.25
11,316,PIE TYPE,CHICAGO,1 1/9 bushel cartons,22.5,22.5,20.25
11,323,PIE TYPE,CHICAGO,1 1/9 bushel cartons,22.5,22.5,20.25
11,330,PIE TYPE,CHICAGO,1 1/9 bushel cartons,22.5,22.5,20.25
12,337,PIE TYPE,CHICAGO,1 1/9 bushel cartons,22.5,22.5,20.25
9,272,PIE TYPE,COLUMBIA,1 1/9 bushel cartons,20.0,20.0,18.0
9,267,PIE TYPE,COLUMBIA,bushel cartons,19.0,19.0,19.0
10,274,PIE TYPE,COLUMBIA,bushel cartons,19.0,19.0,19.0
10,281,PIE TYPE,COLUMBIA,bushel cartons,19.0,19.0,19.0
10,288,PIE TYPE,COLUMBIA,bushel cartons,19.0,19.0,19.0
10,295,PIE TYPE,COLUMBIA,bushel cartons,19.0,19.0,19.0
10,302,PIE TYPE,COLUMBIA,bushel cartons,19.0,19.0,19.0
11,309,PIE TYPE,COLUMBIA,bushel cartons,19.0,19.0,19.0
9,265,PIE TYPE,COLUMBIA,bushel cartons,20.0,20.0,20.0
9,267,PIE TYPE,NEW YORK,1 1/9 bushel cartons,16.0,18.0,15.299999999999999
10,274,PIE TYPE,NEW YORK,1 1/9 bushel cartons,16.0,18.0,15.299999999999999
10,281,PIE TYPE,NEW YORK,1 1/9 bushel cartons,16.0,18.0,15.299999999999999
10,288,PIE TYPE,NEW YORK,1 1/9 bushel cartons,16.0,18.0,15.299999999999999
10,295,PIE TYPE,NEW YORK,1 1/9 bushel cartons,16.0,18.0,15.299999999999999
10,302,PIE TYPE,NEW YORK,1 1/9 bushel cartons,16.0,18.0,15.299999999999999
11,309,PIE TYPE,NEW YORK,1 1/9 bushel cartons,16.0,18.0,15.299999999999999
9,251,PIE TYPE,NEW YORK,bushel cartons,18.0,20.0,19.0
9,258,PIE TYPE,NEW YORK,bushel cartons,18.0,20.0,19.0
9,265,PIE TYPE,NEW YORK,bushel cartons,18.0,20.0,19.0
9,272,PIE TYPE,NEW YORK,bushel cartons,18.0,20.0,19.0
10,295,PIE TYPE,DETROIT,1 1/9 bushel cartons,12.0,12.0,10.799999999999999
10,302,PIE TYPE,DETROIT,1 1/9 bushel cartons,12.0,12.0,10.799999999999999
11,309,PIE TYPE,DETROIT,1 1/9 bushel cartons,12.0,12.0,10.799999999999999
9,251,PIE TYPE,DETROIT,1 1/9 bushel cartons,22.0,22.0,19.8
9,258,PIE TYPE,DETROIT,1 1/9 bushel cartons,20.0,20.0,18.0
9,258,PIE TYPE,DETROIT,1 1/9 bushel cartons,22.0,22.0,19.8
9,265,PIE TYPE,DETROIT,1 1/9 bushel cartons,15.0,20.0,15.75
9,272,PIE TYPE,DETROIT,1 1/9 bushel cartons,15.0,15.0,13.5
10,288,PIE TYPE,SAN FRANCISCO,bushel cartons,16.0,18.0,17.0
10,295,PIE TYPE,SAN FRANCISCO,bushel cartons,16.0,18.0,17.0
10,302,PIE TYPE,SAN FRANCISCO,bushel cartons,16.0,18.0,17.0
11,309,PIE TYPE,SAN FRANCISCO,bushel cartons,16.0,18.0,17.0
11,316,PIE TYPE,SAN FRANCISCO,bushel cartons,16.0,18.0,17.0
10,288,PIE TYPE,PHILADELPHIA,1 1/9 bushel cartons,12.0,14.0,11.7
10,295,PIE TYPE,PHILADELPHIA,1 1/9 bushel cartons,12.0,12.0,10.799999999999999
10,302,PIE TYPE,PHILADELPHIA,1 1/9 bushel cartons,12.0,12.0,10.799999999999999
8,237,PIE TYPE,PHILADELPHIA,1 1/9 bushel cartons,18.0,20.0,17.099999999999998
9,258,PIE TYPE,PHILADELPHIA,1 1/9 bushel cartons,18.0,18.0,16.2
9,265,PIE TYPE,PHILADELPHIA,1 1/9 bushel cartons,18.0,22.0,18.0
